"NSGName","ResourceGroup","RuleName","Priority","Direction","Access","Protocol","SourceAddress","SourcePortRange","DestinationAddress","DestinationPort","RuleType"
"nsg-app-prod","rg-spoke-prod-weu","AllowInternetOutBound","65001","Outbound","Allow","*","*","*","Internet","*","Default"
"nsg-app-prod","rg-spoke-prod-weu","DenyAllOutBound","65500","Outbound","Deny","*","*","*","*","*","Default"
"nsg-data-prod","rg-spoke-prod-weu","AllowFromAppSubnet","100","Inbound","Allow","Tcp","10.1.2.0/24","*","10.1.3.0/24","1433","Custom"
"nsg-data-prod","rg-spoke-prod-weu","DenyAllInbound","4096","Inbound","Deny","*","*","*","*","*","Custom"
"nsg-data-prod","rg-spoke-prod-weu","AllowVnetInBound","65000","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-data-prod","rg-spoke-prod-weu","AllowAzureLoadBalancerInBound","65001","Inbound","Allow","*","AzureLoadBalancer","*","*","*","Default"
"nsg-data-prod","rg-spoke-prod-weu","DenyAllInBound","65500","Inbound","Deny","*","*","*","*","*","Default"
"nsg-data-prod","rg-spoke-prod-weu","AllowVnetOutBound","65000","Outbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-data-prod","rg-spoke-prod-weu","AllowInternetOutBound","65001","Outbound","Allow","*","*","*","Internet","*","Default"
"nsg-data-prod","rg-spoke-prod-weu","DenyAllOutBound","65500","Outbound","Deny","*","*","*","*","*","Default"
"nsg-web-prod","rg-spoke-prod-weu","AllowHTTPFromFirewall","100","Inbound","Allow","Tcp","10.0.1.0/26","*","10.1.1.0/24","80","Custom"
"nsg-web-prod","rg-spoke-prod-weu","AllowHTTPSFromFirewall","110","Inbound","Allow","Tcp","10.0.1.0/26","*","10.1.1.0/24","443","Custom"
"nsg-web-prod","rg-spoke-prod-weu","DenyAllInbound","4096","Inbound","Deny","*","*","*","*","*","Custom"
"nsg-web-prod","rg-spoke-prod-weu","AllowVnetInBound","65000","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-web-prod","rg-spoke-prod-weu","AllowAzureLoadBalancerInBound","65001","Inbound","Allow","*","AzureLoadBalancer","*","*","*","Default"
"nsg-web-prod","rg-spoke-prod-weu","DenyAllInBound","65500","Inbound","Deny","*","*","*","*","*","Default"
"nsg-web-prod","rg-spoke-prod-weu","AllowVnetOutBound","65000","Outbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Default"
"nsg-web-prod","rg-spoke-prod-weu","AllowInternetOutBound","65001","Outbound","Allow","*","*","*","Internet","*","Default"
"nsg-web-prod","rg-spoke-prod-weu","DenyAllOutBound","65500","Outbound","Deny","*","*","*","*","*","Default"
